"BLeft","timeCount"
250,1.0
250,2.0
250,3.0
250,4.0
250,5.0
250,6.0
250,7.0
250,8.0
250,9.0
249,10.0
248,11.0
248,12.0
248,13.0
248,14.0
247,15.0
247,16.0
247,17.0
246,18.0
246,19.0
246,20.0
246,21.0
246,22.0
246,23.0
246,24.0
246,25.0
246,26.0
246,27.0
245,28.0
245,29.0
245,30.0
243,31.0
243,32.0
243,33.0
242,34.0
241,35.0
240,36.0
240,37.0
240,38.0
239,39.0
239,40.0
239,41.0
237,42.0
237,43.0
236,44.0
236,45.0
234,46.0
233,47.0
233,48.0
233,49.0
233,50.0
232,51.0
232,52.0
231,53.0
231,54.0
231,55.0
231,56.0
231,57.0
231,58.0
230,59.0
230,60.0
227,61.0
226,62.0
224,63.0
223,64.0
223,65.0
223,66.0
223,67.0
223,68.0
223,69.0
222,70.0
222,71.0
222,72.0
222,73.0
222,74.0
222,75.0
221,76.0
220,77.0
220,78.0
219,79.0
217,80.0
217,81.0
217,82.0
217,83.0
216,84.0
216,85.0
216,86.0
216,87.0
216,88.0
215,89.0
215,90.0
215,91.0
215,92.0
215,93.0
215,94.0
215,95.0
213,96.0
213,97.0
213,98.0
213,99.0
213,100.0
212,101.0
211,102.0
211,103.0
210,104.0
209,105.0
209,106.0
209,107.0
209,108.0
209,109.0
209,110.0
208,111.0
208,112.0
208,113.0
208,114.0
208,115.0
208,116.0
208,117.0
208,118.0
207,119.0
207,120.0
207,121.0
207,122.0
207,123.0
206,124.0
206,125.0
205,126.0
205,127.0
205,128.0
205,129.0
205,130.0
205,131.0
205,132.0
205,133.0
205,134.0
205,135.0
204,136.0
204,137.0
203,138.0
202,139.0
202,140.0
201,141.0
200,142.0
199,143.0
199,144.0
199,145.0
199,146.0
198,147.0
198,148.0
198,149.0
198,150.0
198,151.0
198,152.0
198,153.0
198,154.0
196,155.0
196,156.0
196,157.0
196,158.0
195,159.0
195,160.0
195,161.0
195,162.0
195,163.0
195,164.0
195,165.0
195,166.0
195,167.0
195,168.0
195,169.0
195,170.0
195,171.0
195,172.0
195,173.0
194,174.0
194,175.0
194,176.0
194,177.0
194,178.0
194,179.0
194,180.0
193,181.0
193,182.0
190,183.0
190,184.0
190,185.0
190,186.0
190,187.0
190,188.0
189,189.0
189,190.0
189,191.0
189,192.0
189,193.0
189,194.0
189,195.0
189,196.0
188,197.0
188,198.0
188,199.0
188,200.0
188,201.0
188,202.0
188,203.0
188,204.0
188,205.0
188,206.0
188,207.0
187,208.0
187,209.0
187,210.0
187,211.0
187,212.0
186,213.0
186,214.0
186,215.0
186,216.0
185,217.0
183,218.0
182,219.0
182,220.0
182,221.0
182,222.0
182,223.0
182,224.0
182,225.0
182,226.0
182,227.0
182,228.0
181,229.0
181,230.0
180,231.0
180,232.0
179,233.0
179,234.0
178,235.0
178,236.0
178,237.0
178,238.0
178,239.0
178,240.0
176,241.0
175,242.0
173,243.0
173,244.0
173,245.0
173,246.0
172,247.0
171,248.0
171,249.0
170,250.0
170,251.0
170,252.0
170,253.0
170,254.0
170,255.0
170,256.0
170,257.0
169,258.0
167,259.0
167,260.0
166,261.0
166,262.0
165,263.0
165,264.0
165,265.0
165,266.0
165,267.0
165,268.0
165,269.0
165,270.0
165,271.0
164,272.0
164,273.0
164,274.0
163,275.0
162,276.0
161,277.0
161,278.0
161,279.0
161,280.0
161,281.0
161,282.0
160,283.0
160,284.0
160,285.0
160,286.0
160,287.0
160,288.0
160,289.0
160,290.0
160,291.0
158,292.0
157,293.0
156,294.0
156,295.0
155,296.0
154,297.0
153,298.0
152,299.0
151,300.0
151,301.0
151,302.0
151,303.0
151,304.0
151,305.0
151,306.0
151,307.0
149,308.0
146,309.0
146,310.0
145,311.0
145,312.0
144,313.0
144,314.0
144,315.0
144,316.0
142,317.0
142,318.0
142,319.0
141,320.0
141,321.0
141,322.0
141,323.0
141,324.0
141,325.0
141,326.0
141,327.0
141,328.0
141,329.0
140,330.0
140,331.0
139,332.0
139,333.0
138,334.0
138,335.0
138,336.0
137,337.0
137,338.0
137,339.0
137,340.0
137,341.0
137,342.0
136,343.0
136,344.0
135,345.0
135,346.0
135,347.0
133,348.0
133,349.0
133,350.0
133,351.0
133,352.0
133,353.0
133,354.0
133,355.0
133,356.0
133,357.0
132,358.0
132,359.0
132,360.0
131,361.0
131,362.0
130,363.0
129,364.0
129,365.0
129,366.0
128,367.0
126,368.0
126,369.0
126,370.0
126,371.0
125,372.0
124,373.0
124,374.0
124,375.0
123,376.0
123,377.0
123,378.0
123,379.0
123,380.0
123,381.0
123,382.0
123,383.0
123,384.0
123,385.0
123,386.0
121,387.0
121,388.0
121,389.0
121,390.0
121,391.0
121,392.0
121,393.0
121,394.0
121,395.0
120,396.0
119,397.0
118,398.0
118,399.0
118,400.0
118,401.0
118,402.0
118,403.0
118,404.0
118,405.0
118,406.0
116,407.0
116,408.0
116,409.0
116,410.0
116,411.0
116,412.0
116,413.0
116,414.0
116,415.0
116,416.0
116,417.0
116,418.0
116,419.0
116,420.0
116,421.0
116,422.0
116,423.0
116,424.0
116,425.0
116,426.0
116,427.0
116,428.0
116,429.0
115,430.0
115,431.0
115,432.0
115,433.0
115,434.0
115,435.0
115,436.0
115,437.0
115,438.0
115,439.0
115,440.0
115,441.0
113,442.0
113,443.0
113,444.0
113,445.0
113,446.0
113,447.0
112,448.0
112,449.0
112,450.0
112,451.0
112,452.0
112,453.0
112,454.0
112,455.0
112,456.0
112,457.0
112,458.0
111,459.0
111,460.0
111,461.0
111,462.0
111,463.0
111,464.0
111,465.0
111,466.0
111,467.0
111,468.0
111,469.0
111,470.0
111,471.0
111,472.0
110,473.0
110,474.0
110,475.0
110,476.0
110,477.0
110,478.0
110,479.0
109,480.0
108,481.0
108,482.0
108,483.0
107,484.0
107,485.0
107,486.0
107,487.0
107,488.0
107,489.0
107,490.0
107,491.0
107,492.0
106,493.0
105,494.0
105,495.0
105,496.0
105,497.0
105,498.0
104,499.0
103,500.0
103,501.0
103,502.0
103,503.0
103,504.0
103,505.0
103,506.0
103,507.0
103,508.0
102,509.0
102,510.0
102,511.0
102,512.0
102,513.0
102,514.0
101,515.0
101,516.0
100,517.0
100,518.0
100,519.0
100,520.0
100,521.0
100,522.0
100,523.0
99,524.0
99,525.0
99,526.0
99,527.0
99,528.0
99,529.0
99,530.0
99,531.0
99,532.0
98,533.0
98,534.0
97,535.0
96,536.0
95,537.0
95,538.0
94,539.0
94,540.0
94,541.0
94,542.0
94,543.0
94,544.0
94,545.0
94,546.0
94,547.0
93,548.0
93,549.0
93,550.0
93,551.0
93,552.0
93,553.0
93,554.0
93,555.0
93,556.0
93,557.0
93,558.0
93,559.0
93,560.0
92,561.0
92,562.0
91,563.0
91,564.0
90,565.0
90,566.0
90,567.0
90,568.0
90,569.0
89,570.0
89,571.0
88,572.0
88,573.0
88,574.0
88,575.0
86,576.0
86,577.0
86,578.0
86,579.0
86,580.0
85,581.0
83,582.0
83,583.0
83,584.0
83,585.0
83,586.0
83,587.0
82,588.0
81,589.0
81,590.0
81,591.0
81,592.0
81,593.0
81,594.0
81,595.0
81,596.0
81,597.0
81,598.0
81,599.0
81,600.0
81,601.0
80,602.0
80,603.0
80,604.0
80,605.0
80,606.0
80,607.0
80,608.0
80,609.0
80,610.0
80,611.0
80,612.0
80,613.0
80,614.0
80,615.0
79,616.0
79,617.0
78,618.0
78,619.0
78,620.0
77,621.0
77,622.0
77,623.0
77,624.0
77,625.0
76,626.0
76,627.0
75,628.0
75,629.0
74,630.0
74,631.0
74,632.0
74,633.0
74,634.0
74,635.0
73,636.0
73,637.0
73,638.0
73,639.0
73,640.0
73,641.0
72,642.0
72,643.0
72,644.0
72,645.0
72,646.0
72,647.0
72,648.0
72,649.0
72,650.0
72,651.0
71,652.0
71,653.0
71,654.0
70,655.0
70,656.0
70,657.0
70,658.0
70,659.0
70,660.0
70,661.0
70,662.0
68,663.0
68,664.0
68,665.0
68,666.0
68,667.0
68,668.0
68,669.0
68,670.0
68,671.0
68,672.0
68,673.0
68,674.0
67,675.0
67,676.0
66,677.0
66,678.0
66,679.0
66,680.0
65,681.0
65,682.0
64,683.0
64,684.0
64,685.0
64,686.0
64,687.0
63,688.0
63,689.0
63,690.0
62,691.0
62,692.0
62,693.0
62,694.0
62,695.0
62,696.0
62,697.0
62,698.0
62,699.0
62,700.0
62,701.0
62,702.0
62,703.0
62,704.0
62,705.0
62,706.0
62,707.0
62,708.0
62,709.0
62,710.0
62,711.0
62,712.0
62,713.0
62,714.0
62,715.0
62,716.0
62,717.0
62,718.0
62,719.0
62,720.0
62,721.0
61,722.0
61,723.0
61,724.0
61,725.0
61,726.0
61,727.0
61,728.0
61,729.0
60,730.0
60,731.0
60,732.0
60,733.0
60,734.0
60,735.0
60,736.0
60,737.0
60,738.0
60,739.0
60,740.0
60,741.0
60,742.0
60,743.0
60,744.0
60,745.0
59,746.0
59,747.0
59,748.0
59,749.0
59,750.0
59,751.0
59,752.0
58,753.0
58,754.0
58,755.0
57,756.0
57,757.0
57,758.0
57,759.0
57,760.0
57,761.0
57,762.0
57,763.0
57,764.0
57,765.0
57,766.0
57,767.0
57,768.0
57,769.0
57,770.0
57,771.0
57,772.0
57,773.0
57,774.0
57,775.0
