"timestamp","Fr","Pr"
1.0,0,0
2.0,1,0
3.0,2,0
4.0,3,0
5.0,4,0
6.0,5,0
7.0,6,0
8.0,7,0
9.0,8,0
10.0,9,0
11.0,10,0
12.0,11,0
13.0,12,0
14.0,13,0
15.0,14,0
16.0,15,0
17.0,16,0
18.0,17,0
19.0,18,0
20.0,19,0
21.0,20,0
22.0,21,0
23.0,22,0
24.0,23,0
25.0,24,0
26.0,25,0
27.0,26,0
28.0,27,0
29.0,28,0
30.0,29,0
31.0,30,0
32.0,31,0
33.0,32,0
34.0,33,0
35.0,34,0
36.0,35,0
37.0,36,0
38.0,37,0
39.0,38,0
40.0,39,0
41.0,40,0
42.0,41,0
43.0,42,0
44.0,43,0
45.0,44,0
46.0,45,0
47.0,46,0
48.0,47,0
49.0,48,49
50.0,48,47
51.0,48,42
52.0,48,38
53.0,48,38
54.0,48,38
55.0,48,34
56.0,48,37
57.0,48,34
58.0,48,34
59.0,48,34
60.0,48,32
61.0,48,32
62.0,48,32
63.0,48,32
64.0,48,32
65.0,48,32
66.0,48,32
67.0,48,32
68.0,48,32
69.0,48,32
70.0,48,32
71.0,48,32
72.0,48,32
73.0,48,32
74.0,48,32
75.0,48,32
76.0,48,32
77.0,48,32
78.0,48,32
79.0,48,32
80.0,48,32
81.0,48,32
82.0,48,32
83.0,48,32
84.0,48,32
85.0,48,32
86.0,48,32
87.0,48,32
88.0,48,32
89.0,48,32
90.0,48,32
91.0,48,32
92.0,48,32
93.0,48,32
94.0,48,32
95.0,48,32
96.0,48,32
97.0,48,32
98.0,48,32
99.0,48,32
100.0,48,32
101.0,48,32
102.0,48,32
103.0,48,32
104.0,48,32
105.0,48,32
106.0,48,32
107.0,48,32
108.0,48,32
109.0,48,32
110.0,48,32
111.0,48,32
112.0,48,32
113.0,48,32
114.0,48,32
115.0,48,32
116.0,48,32
117.0,48,32
118.0,48,32
119.0,48,32
120.0,48,32
121.0,48,32
122.0,48,32
123.0,48,32
124.0,48,32
125.0,48,32
126.0,48,32
127.0,48,32
128.0,48,32
