"Steps taken by first ant","Time","Steps taken bt present ant"
0,1.0,0
0,2.0,0
0,3.0,0
0,4.0,0
0,5.0,0
0,6.0,0
0,7.0,0
0,8.0,0
0,9.0,0
0,10.0,0
0,11.0,0
0,12.0,0
0,13.0,0
0,14.0,0
0,15.0,0
0,16.0,0
0,17.0,0
0,18.0,0
0,19.0,0
0,20.0,0
0,21.0,0
0,22.0,0
0,23.0,0
0,24.0,0
0,25.0,0
0,26.0,0
0,27.0,0
0,28.0,0
0,29.0,0
0,30.0,0
0,31.0,0
0,32.0,0
0,33.0,0
0,34.0,0
0,35.0,0
0,36.0,0
0,37.0,0
0,38.0,0
0,39.0,0
0,40.0,0
0,41.0,0
0,42.0,0
0,43.0,0
0,44.0,0
0,45.0,0
0,46.0,0
0,47.0,0
0,48.0,0
0,49.0,0
0,50.0,0
0,51.0,0
0,52.0,0
0,53.0,0
0,54.0,0
0,55.0,0
0,56.0,0
0,57.0,0
0,58.0,0
0,59.0,0
0,60.0,0
0,61.0,0
0,62.0,0
0,63.0,0
0,64.0,0
0,65.0,0
0,66.0,0
0,67.0,0
0,68.0,0
0,69.0,0
0,70.0,0
0,71.0,0
0,72.0,0
0,73.0,0
0,74.0,0
0,75.0,0
0,76.0,0
0,77.0,0
0,78.0,0
0,79.0,0
0,80.0,0
0,81.0,0
0,82.0,0
0,83.0,0
0,84.0,0
0,85.0,0
0,86.0,0
0,87.0,0
0,88.0,0
0,89.0,0
0,90.0,0
0,91.0,0
0,92.0,0
0,93.0,0
0,94.0,0
0,95.0,0
0,96.0,0
0,97.0,0
0,98.0,0
0,99.0,0
0,100.0,0
0,101.0,0
0,102.0,0
0,103.0,0
0,104.0,0
0,105.0,0
0,106.0,0
0,107.0,0
0,108.0,0
0,109.0,0
0,110.0,0
0,111.0,0
0,112.0,0
0,113.0,0
0,114.0,0
0,115.0,0
0,116.0,0
0,117.0,0
0,118.0,0
0,119.0,0
0,120.0,0
0,121.0,0
0,122.0,0
0,123.0,0
0,124.0,0
0,125.0,0
0,126.0,0
0,127.0,0
0,128.0,0
0,129.0,0
0,130.0,0
0,131.0,0
0,132.0,0
0,133.0,0
0,134.0,134
134,135.0,131
134,136.0,131
134,137.0,131
134,138.0,129
134,139.0,125
134,140.0,124
134,141.0,124
134,142.0,123
134,143.0,119
134,144.0,118
134,145.0,113
134,146.0,111
134,147.0,110
134,148.0,110
134,149.0,109
134,150.0,108
134,151.0,105
134,152.0,103
134,153.0,102
134,154.0,100
134,155.0,99
134,156.0,98
134,157.0,95
134,158.0,93
134,159.0,93
134,160.0,92
134,161.0,92
134,162.0,91
134,163.0,89
134,164.0,88
134,165.0,88
134,166.0,87
134,167.0,82
134,168.0,80
134,169.0,78
134,170.0,76
134,171.0,75
134,172.0,75
134,173.0,75
134,174.0,74
134,175.0,72
134,176.0,70
134,177.0,68
134,178.0,67
134,179.0,65
134,180.0,64
134,181.0,62
134,182.0,61
134,183.0,60
134,184.0,59
134,185.0,54
134,186.0,52
134,187.0,51
134,188.0,50
134,189.0,50
134,190.0,50
134,191.0,50
134,192.0,49
134,193.0,45
134,194.0,43
134,195.0,41
134,196.0,40
134,197.0,40
134,198.0,39
134,199.0,38
134,200.0,37
134,201.0,37
134,202.0,33
134,203.0,33
134,204.0,33
134,205.0,33
134,206.0,33
134,207.0,33
134,208.0,33
134,209.0,33
134,210.0,33
134,211.0,33
134,212.0,32
134,213.0,32
134,214.0,32
134,215.0,32
134,216.0,32
134,217.0,32
134,218.0,32
134,219.0,32
134,220.0,32
134,221.0,32
134,222.0,32
134,223.0,32
134,224.0,32
134,225.0,32
134,226.0,32
134,227.0,32
134,228.0,32
134,229.0,32
134,230.0,32
134,231.0,32
134,232.0,32
134,233.0,32
134,234.0,32
134,235.0,32
134,236.0,32
134,237.0,32
134,238.0,32
134,239.0,32
134,240.0,32
134,241.0,32
134,242.0,32
134,243.0,32
134,244.0,32
134,245.0,32
134,246.0,32
134,247.0,32
134,248.0,32
134,249.0,32
134,250.0,32
134,251.0,32
134,252.0,32
134,253.0,32
134,254.0,32
134,255.0,32
134,256.0,32
134,257.0,32
134,258.0,32
134,259.0,32
134,260.0,32
134,261.0,32
134,262.0,32
134,263.0,32
134,264.0,32
134,265.0,32
134,266.0,32
134,267.0,32
134,268.0,32
134,269.0,32
134,270.0,32
134,271.0,32
134,272.0,32
134,273.0,32
134,274.0,32
134,275.0,32
134,276.0,32
134,277.0,32
134,278.0,32
134,279.0,32
134,280.0,32
134,281.0,32
134,282.0,32
134,283.0,32
134,284.0,32
134,285.0,32
134,286.0,32
134,287.0,32
134,288.0,32
134,289.0,32
134,290.0,32
134,291.0,32
134,292.0,32
134,293.0,32
134,294.0,32
134,295.0,32
134,296.0,32
134,297.0,32
134,298.0,32
134,299.0,32
134,300.0,32
134,301.0,32
134,302.0,32
134,303.0,32
134,304.0,32
134,305.0,32
134,306.0,32
134,307.0,32
134,308.0,32
134,309.0,32
134,310.0,32
134,311.0,32
134,312.0,32
134,313.0,32
134,314.0,32
134,315.0,32
134,316.0,32
134,317.0,32
134,318.0,32
134,319.0,32
134,320.0,32
134,321.0,32
134,322.0,32
134,323.0,32
134,324.0,32
134,325.0,32
134,326.0,32
134,327.0,32
134,328.0,32
134,329.0,32
134,330.0,32
134,331.0,32
134,332.0,32
134,333.0,32
134,334.0,32
134,335.0,32
134,336.0,32
134,337.0,32
134,338.0,32
134,339.0,32
134,340.0,32
134,341.0,32
134,342.0,32
134,343.0,32
134,344.0,32
134,345.0,32
134,346.0,32
134,347.0,32
134,348.0,32
134,349.0,32
134,350.0,32
134,351.0,32
134,352.0,32
134,353.0,32
134,354.0,32
134,355.0,32
134,356.0,32
134,357.0,32
134,358.0,32
134,359.0,32
134,360.0,32
134,361.0,32
134,362.0,32
134,363.0,32
134,364.0,32
134,365.0,32
134,366.0,32
134,367.0,32
134,368.0,32
134,369.0,32
134,370.0,32
134,371.0,32
134,372.0,32
134,373.0,32
134,374.0,32
134,375.0,32
134,376.0,32
134,377.0,32
134,378.0,32
134,379.0,32
134,380.0,32
134,381.0,32
134,382.0,32
134,383.0,32
134,384.0,32
134,385.0,32
134,386.0,32
134,387.0,32
134,388.0,32
134,389.0,32
134,390.0,32
134,391.0,32
134,392.0,32
134,393.0,32
134,394.0,32
134,395.0,32
134,396.0,32
134,397.0,32
134,398.0,32
134,399.0,32
134,400.0,32
134,401.0,32
134,402.0,32
134,403.0,32
134,404.0,32
134,405.0,32
134,406.0,32
134,407.0,32
134,408.0,32
134,409.0,32
134,410.0,32
134,411.0,32
134,412.0,32
134,413.0,32
134,414.0,32
134,415.0,32
134,416.0,32
134,417.0,32
134,418.0,32
134,419.0,32
134,420.0,32
134,421.0,32
134,422.0,32
134,423.0,32
134,424.0,32
134,425.0,32
134,426.0,32
134,427.0,32
134,428.0,32
134,429.0,32
134,430.0,32
134,431.0,32
134,432.0,32
134,433.0,32
134,434.0,32
134,435.0,32
134,436.0,32
134,437.0,32
134,438.0,32
134,439.0,32
134,440.0,32
134,441.0,32
134,442.0,32
134,443.0,32
134,444.0,32
134,445.0,32
134,446.0,32
134,447.0,32
134,448.0,32
134,449.0,32
134,450.0,32
134,451.0,32
134,452.0,32
134,453.0,32
134,454.0,32
134,455.0,32
134,456.0,32
134,457.0,32
134,458.0,32
134,459.0,32
134,460.0,32
134,461.0,32
134,462.0,32
134,463.0,32
134,464.0,32
134,465.0,32
134,466.0,32
134,467.0,32
134,468.0,32
134,469.0,32
134,470.0,32
134,471.0,32
134,472.0,32
134,473.0,32
134,474.0,32
134,475.0,32
134,476.0,32
134,477.0,32
134,478.0,32
134,479.0,32
134,480.0,32
134,481.0,32
134,482.0,32
134,483.0,32
134,484.0,32
134,485.0,32
134,486.0,32
134,487.0,32
134,488.0,32
134,489.0,32
134,490.0,32
134,491.0,32
134,492.0,32
134,493.0,32
134,494.0,32
134,495.0,32
134,496.0,32
134,497.0,32
134,498.0,32
134,499.0,32
134,500.0,32
134,501.0,32
134,502.0,32
134,503.0,32
134,504.0,32
134,505.0,32
134,506.0,32
134,507.0,32
134,508.0,32
134,509.0,32
134,510.0,32
134,511.0,32
134,512.0,32
134,513.0,32
134,514.0,32
134,515.0,32
134,516.0,32
134,517.0,32
134,518.0,32
134,519.0,32
134,520.0,32
134,521.0,32
134,522.0,32
134,523.0,32
134,524.0,32
134,525.0,32
134,526.0,32
134,527.0,32
134,528.0,32
134,529.0,32
134,530.0,32
134,531.0,32
134,532.0,32
134,533.0,32
134,534.0,32
134,535.0,32
134,536.0,32
134,537.0,32
134,538.0,32
134,539.0,32
134,540.0,32
134,541.0,32
134,542.0,32
134,543.0,32
134,544.0,32
134,545.0,32
134,546.0,32
134,547.0,32
134,548.0,32
134,549.0,32
134,550.0,32
134,551.0,32
134,552.0,32
134,553.0,32
134,554.0,32
134,555.0,32
134,556.0,32
134,557.0,32
134,558.0,32
134,559.0,32
134,560.0,32
134,561.0,32
134,562.0,32
134,563.0,32
134,564.0,32
134,565.0,32
134,566.0,32
134,567.0,32
134,568.0,32
134,569.0,32
134,570.0,32
134,571.0,32
134,572.0,32
134,573.0,32
134,574.0,32
134,575.0,32
134,576.0,32
134,577.0,32
134,578.0,32
134,579.0,32
134,580.0,32
134,581.0,32
134,582.0,32
134,583.0,32
134,584.0,32
134,585.0,32
134,586.0,32
134,587.0,32
134,588.0,32
134,589.0,32
134,590.0,32
134,591.0,32
134,592.0,32
134,593.0,32
134,594.0,32
134,595.0,32
134,596.0,32
134,597.0,32
134,598.0,32
134,599.0,32
134,600.0,32
134,601.0,32
134,602.0,32
134,603.0,32
134,604.0,32
134,605.0,32
134,606.0,32
134,607.0,32
134,608.0,32
134,609.0,32
134,610.0,32
134,611.0,32
134,612.0,32
134,613.0,32
134,614.0,32
134,615.0,32
134,616.0,32
134,617.0,32
134,618.0,32
134,619.0,32
134,620.0,32
134,621.0,32
134,622.0,32
134,623.0,32
134,624.0,32
134,625.0,32
134,626.0,32
134,627.0,32
134,628.0,32
134,629.0,32
134,630.0,32
134,631.0,32
134,632.0,32
134,633.0,32
134,634.0,32
134,635.0,32
134,636.0,32
134,637.0,32
134,638.0,32
134,639.0,32
134,640.0,32
134,641.0,32
134,642.0,32
134,643.0,32
134,644.0,32
134,645.0,32
134,646.0,32
134,647.0,32
134,648.0,32
134,649.0,32
134,650.0,32
134,651.0,32
134,652.0,32
134,653.0,32
134,654.0,32
134,655.0,32
134,656.0,32
134,657.0,32
134,658.0,32
134,659.0,32
134,660.0,32
134,661.0,32
134,662.0,32
