"Steps taken by first ant","Time","Steps taken bt present ant"
0,1.0,0
0,2.0,0
0,3.0,0
0,4.0,0
0,5.0,0
0,6.0,0
0,7.0,0
0,8.0,0
0,9.0,0
0,10.0,0
0,11.0,0
0,12.0,0
0,13.0,0
0,14.0,0
0,15.0,0
0,16.0,0
0,17.0,0
0,18.0,0
0,19.0,0
0,20.0,0
0,21.0,0
0,22.0,0
0,23.0,0
0,24.0,0
0,25.0,0
0,26.0,0
0,27.0,0
0,28.0,0
0,29.0,0
0,30.0,0
0,31.0,0
0,32.0,0
0,33.0,0
0,34.0,0
0,35.0,0
0,36.0,0
0,37.0,0
0,38.0,0
0,39.0,0
0,40.0,0
0,41.0,0
0,42.0,0
0,43.0,0
0,44.0,0
0,45.0,0
0,46.0,0
0,47.0,0
0,48.0,0
0,49.0,0
0,50.0,0
0,51.0,0
0,52.0,0
0,53.0,0
0,54.0,0
0,55.0,0
0,56.0,0
0,57.0,0
0,58.0,0
0,59.0,0
0,60.0,0
0,61.0,0
0,62.0,0
0,63.0,0
0,64.0,0
0,65.0,0
0,66.0,0
0,67.0,0
0,68.0,0
0,69.0,0
0,70.0,0
0,71.0,0
0,72.0,0
0,73.0,0
0,74.0,0
0,75.0,0
0,76.0,0
0,77.0,0
0,78.0,0
0,79.0,0
0,80.0,0
0,81.0,0
0,82.0,0
0,83.0,0
0,84.0,0
0,85.0,0
0,86.0,0
0,87.0,0
0,88.0,0
0,89.0,0
0,90.0,0
0,91.0,91
91,92.0,89
91,93.0,87
91,94.0,85
91,95.0,77
91,96.0,73
91,97.0,73
91,98.0,72
91,99.0,68
91,100.0,65
91,101.0,64
91,102.0,56
91,103.0,54
91,104.0,52
91,105.0,51
91,106.0,49
91,107.0,49
91,108.0,49
91,109.0,47
91,110.0,42
91,111.0,40
91,112.0,37
91,113.0,36
91,114.0,36
91,115.0,36
91,116.0,34
91,117.0,32
91,118.0,32
91,119.0,32
91,120.0,32
91,121.0,32
91,122.0,32
91,123.0,32
91,124.0,32
91,125.0,32
91,126.0,32
91,127.0,32
91,128.0,32
91,129.0,32
91,130.0,32
91,131.0,32
91,132.0,32
91,133.0,32
91,134.0,32
91,135.0,32
91,136.0,32
91,137.0,32
91,138.0,32
91,139.0,32
91,140.0,32
91,141.0,32
91,142.0,32
91,143.0,32
91,144.0,32
91,145.0,32
91,146.0,32
91,147.0,32
91,148.0,32
91,149.0,32
91,150.0,32
91,151.0,32
91,152.0,32
91,153.0,32
91,154.0,32
91,155.0,32
91,156.0,32
91,157.0,32
91,158.0,32
91,159.0,32
91,160.0,32
91,161.0,32
91,162.0,32
91,163.0,32
91,164.0,32
91,165.0,32
91,166.0,32
91,167.0,32
91,168.0,32
91,169.0,32
91,170.0,32
91,171.0,32
91,172.0,32
91,173.0,32
91,174.0,32
91,175.0,32
91,176.0,32
91,177.0,32
91,178.0,32
91,179.0,32
91,180.0,32
91,181.0,32
91,182.0,32
91,183.0,32
91,184.0,32
91,185.0,32
91,186.0,32
91,187.0,32
91,188.0,32
91,189.0,32
91,190.0,32
91,191.0,32
91,192.0,32
91,193.0,32
91,194.0,32
91,195.0,32
91,196.0,32
91,197.0,32
91,198.0,32
91,199.0,32
91,200.0,32
91,201.0,32
91,202.0,32
91,203.0,32
91,204.0,32
91,205.0,32
91,206.0,32
91,207.0,32
91,208.0,32
91,209.0,32
91,210.0,32
91,211.0,32
91,212.0,32
91,213.0,32
91,214.0,32
91,215.0,32
91,216.0,32
91,217.0,32
91,218.0,32
91,219.0,32
91,220.0,32
91,221.0,32
91,222.0,32
91,223.0,32
91,224.0,32
91,225.0,32
91,226.0,32
91,227.0,32
91,228.0,32
91,229.0,32
91,230.0,32
91,231.0,32
91,232.0,32
91,233.0,32
91,234.0,32
91,235.0,32
91,236.0,32
91,237.0,32
91,238.0,32
91,239.0,32
91,240.0,32
91,241.0,32
91,242.0,32
91,243.0,32
91,244.0,32
91,245.0,32
91,246.0,32
91,247.0,32
91,248.0,32
91,249.0,32
91,250.0,32
91,251.0,32
91,252.0,32
91,253.0,32
91,254.0,32
91,255.0,32
91,256.0,32
91,257.0,32
91,258.0,32
91,259.0,32
91,260.0,32
91,261.0,32
91,262.0,32
91,263.0,32
91,264.0,32
91,265.0,32
91,266.0,32
91,267.0,32
91,268.0,32
91,269.0,32
91,270.0,32
91,271.0,32
91,272.0,32
91,273.0,32
91,274.0,32
91,275.0,32
91,276.0,32
91,277.0,32
91,278.0,32
91,279.0,32
91,280.0,32
91,281.0,32
91,282.0,32
91,283.0,32
91,284.0,32
91,285.0,32
91,286.0,32
91,287.0,32
91,288.0,32
91,289.0,32
91,290.0,32
91,291.0,32
91,292.0,32
91,293.0,32
91,294.0,32
91,295.0,32
91,296.0,32
91,297.0,32
91,298.0,32
91,299.0,32
91,300.0,32
91,301.0,32
91,302.0,32
91,303.0,32
91,304.0,32
91,305.0,32
91,306.0,32
91,307.0,32
91,308.0,32
91,309.0,32
91,310.0,32
91,311.0,32
91,312.0,32
91,313.0,32
91,314.0,32
91,315.0,32
91,316.0,32
91,317.0,32
91,318.0,32
91,319.0,32
91,320.0,32
91,321.0,32
91,322.0,32
91,323.0,32
91,324.0,32
91,325.0,32
91,326.0,32
91,327.0,32
91,328.0,32
91,329.0,32
91,330.0,32
91,331.0,32
91,332.0,32
91,333.0,32
91,334.0,32
91,335.0,32
91,336.0,32
91,337.0,32
91,338.0,32
91,339.0,32
91,340.0,32
91,341.0,32
91,342.0,32
91,343.0,32
91,344.0,32
91,345.0,32
91,346.0,32
91,347.0,32
91,348.0,32
91,349.0,32
91,350.0,32
91,351.0,32
91,352.0,32
91,353.0,32
91,354.0,32
91,355.0,32
91,356.0,32
91,357.0,32
91,358.0,32
91,359.0,32
91,360.0,32
91,361.0,32
91,362.0,32
91,363.0,32
91,364.0,32
91,365.0,32
91,366.0,32
91,367.0,32
91,368.0,32
91,369.0,32
91,370.0,32
91,371.0,32
91,372.0,32
91,373.0,32
91,374.0,32
91,375.0,32
91,376.0,32
91,377.0,32
91,378.0,32
91,379.0,32
91,380.0,32
91,381.0,32
91,382.0,32
91,383.0,32
91,384.0,32
91,385.0,32
91,386.0,32
91,387.0,32
91,388.0,32
91,389.0,32
91,390.0,32
91,391.0,32
91,392.0,32
91,393.0,32
91,394.0,32
91,395.0,32
91,396.0,32
91,397.0,32
91,398.0,32
91,399.0,32
91,400.0,32
91,401.0,32
91,402.0,32
91,403.0,32
91,404.0,32
91,405.0,32
91,406.0,32
91,407.0,32
91,408.0,32
91,409.0,32
91,410.0,32
91,411.0,32
91,412.0,32
91,413.0,32
91,414.0,32
91,415.0,32
91,416.0,32
91,417.0,32
91,418.0,32
91,419.0,32
91,420.0,32
91,421.0,32
91,422.0,32
91,423.0,32
91,424.0,32
91,425.0,32
91,426.0,32
91,427.0,32
91,428.0,32
91,429.0,32
91,430.0,32
91,431.0,32
91,432.0,32
91,433.0,32
91,434.0,32
91,435.0,32
91,436.0,32
91,437.0,32
91,438.0,32
91,439.0,32
91,440.0,32
91,441.0,32
91,442.0,32
91,443.0,32
91,444.0,32
91,445.0,32
91,446.0,32
91,447.0,32
91,448.0,32
91,449.0,32
91,450.0,32
91,451.0,32
91,452.0,32
91,453.0,32
91,454.0,32
91,455.0,32
91,456.0,32
91,457.0,32
91,458.0,32
91,459.0,32
91,460.0,32
91,461.0,32
91,462.0,32
91,463.0,32
91,464.0,32
91,465.0,32
91,466.0,32
91,467.0,32
91,468.0,32
91,469.0,32
91,470.0,32
91,471.0,32
91,472.0,32
91,473.0,32
91,474.0,32
91,475.0,32
91,476.0,32
91,477.0,32
91,478.0,32
91,479.0,32
91,480.0,32
