"Steps taken by first ant","Time","Steps taken bt present ant"
0,1.0,0
0,2.0,0
0,3.0,0
0,4.0,0
0,5.0,0
0,6.0,0
0,7.0,0
0,8.0,0
0,9.0,0
0,10.0,0
0,11.0,0
0,12.0,0
0,13.0,0
0,14.0,0
0,15.0,0
0,16.0,0
0,17.0,0
0,18.0,0
0,19.0,0
0,20.0,0
0,21.0,0
0,22.0,0
0,23.0,0
0,24.0,0
0,25.0,0
0,26.0,0
0,27.0,0
0,28.0,0
0,29.0,0
0,30.0,0
0,31.0,0
0,32.0,0
0,33.0,0
0,34.0,0
0,35.0,0
0,36.0,0
0,37.0,0
0,38.0,0
0,39.0,0
0,40.0,0
0,41.0,0
0,42.0,0
0,43.0,0
0,44.0,0
0,45.0,0
0,46.0,0
0,47.0,0
0,48.0,0
0,49.0,0
0,50.0,0
0,51.0,0
0,52.0,0
0,53.0,0
0,54.0,0
0,55.0,0
0,56.0,0
0,57.0,0
0,58.0,0
0,59.0,0
0,60.0,0
0,61.0,0
0,62.0,0
0,63.0,0
0,64.0,0
0,65.0,0
0,66.0,0
0,67.0,0
0,68.0,0
0,69.0,0
0,70.0,0
0,71.0,0
0,72.0,0
0,73.0,0
0,74.0,0
0,75.0,0
0,76.0,0
0,77.0,0
0,78.0,0
0,79.0,0
0,80.0,0
0,81.0,0
0,82.0,0
0,83.0,0
0,84.0,0
0,85.0,0
0,86.0,0
0,87.0,0
0,88.0,0
0,89.0,0
0,90.0,0
0,91.0,0
0,92.0,0
0,93.0,0
0,94.0,0
0,95.0,0
0,96.0,0
0,97.0,0
0,98.0,0
0,99.0,0
0,100.0,0
0,101.0,0
0,102.0,0
0,103.0,0
0,104.0,0
0,105.0,0
0,106.0,0
0,107.0,0
0,108.0,0
0,109.0,0
0,110.0,0
0,111.0,0
0,112.0,0
0,113.0,0
0,114.0,0
0,115.0,0
0,116.0,114
116,117.0,113
116,118.0,112
116,119.0,110
116,120.0,109
116,121.0,108
116,122.0,106
116,123.0,105
116,124.0,105
116,125.0,95
116,126.0,102
116,127.0,89
116,128.0,101
116,129.0,88
116,130.0,86
116,131.0,85
116,132.0,83
116,133.0,83
116,134.0,77
116,135.0,77
116,136.0,73
116,137.0,69
116,138.0,65
116,139.0,63
116,140.0,61
116,141.0,59
116,142.0,57
116,143.0,56
116,144.0,54
116,145.0,54
116,146.0,53
116,147.0,52
116,148.0,50
116,149.0,50
116,150.0,49
116,151.0,44
116,152.0,43
116,153.0,42
116,154.0,41
116,155.0,40
116,156.0,40
116,157.0,37
116,158.0,33
116,159.0,33
116,160.0,32
116,161.0,32
116,162.0,32
116,163.0,32
116,164.0,32
116,165.0,32
116,166.0,32
116,167.0,32
116,168.0,32
116,169.0,32
116,170.0,32
116,171.0,32
116,172.0,32
116,173.0,32
116,174.0,32
116,175.0,32
116,176.0,32
116,177.0,32
116,178.0,32
116,179.0,32
116,180.0,32
116,181.0,32
116,182.0,32
116,183.0,32
116,184.0,32
116,185.0,32
116,186.0,32
116,187.0,32
116,188.0,32
116,189.0,32
116,190.0,32
116,191.0,32
116,192.0,32
116,193.0,32
116,194.0,32
116,195.0,32
116,196.0,32
116,197.0,32
116,198.0,32
116,199.0,32
116,200.0,32
116,201.0,32
116,202.0,32
116,203.0,32
116,204.0,32
116,205.0,32
116,206.0,32
116,207.0,32
116,208.0,32
116,209.0,32
116,210.0,32
116,211.0,32
116,212.0,32
116,213.0,32
116,214.0,32
116,215.0,32
116,216.0,32
116,217.0,32
116,218.0,32
116,219.0,32
116,220.0,32
116,221.0,32
116,222.0,32
116,223.0,32
116,224.0,32
116,225.0,32
116,226.0,32
116,227.0,32
116,228.0,32
116,229.0,32
116,230.0,32
116,231.0,32
116,232.0,32
116,233.0,32
116,234.0,32
116,235.0,32
116,236.0,32
116,237.0,32
116,238.0,32
116,239.0,32
116,240.0,32
116,241.0,32
116,242.0,32
116,243.0,32
116,244.0,32
116,245.0,32
116,246.0,32
116,247.0,32
116,248.0,32
116,249.0,32
116,250.0,32
116,251.0,32
116,252.0,32
116,253.0,32
116,254.0,32
116,255.0,32
116,256.0,32
116,257.0,32
116,258.0,32
116,259.0,32
116,260.0,32
116,261.0,32
116,262.0,32
116,263.0,32
116,264.0,32
116,265.0,32
116,266.0,32
116,267.0,32
116,268.0,32
116,269.0,32
116,270.0,32
116,271.0,32
116,272.0,32
116,273.0,32
116,274.0,32
116,275.0,32
116,276.0,32
116,277.0,32
116,278.0,32
116,279.0,32
116,280.0,32
116,281.0,32
116,282.0,32
116,283.0,32
116,284.0,32
116,285.0,32
116,286.0,32
116,287.0,32
116,288.0,32
116,289.0,32
116,290.0,32
116,291.0,32
116,292.0,32
116,293.0,32
116,294.0,32
116,295.0,32
116,296.0,32
116,297.0,32
116,298.0,32
116,299.0,32
116,300.0,32
116,301.0,32
116,302.0,32
116,303.0,32
116,304.0,32
116,305.0,32
116,306.0,32
116,307.0,32
116,308.0,32
116,309.0,32
116,310.0,32
116,311.0,32
116,312.0,32
116,313.0,32
116,314.0,32
116,315.0,32
116,316.0,32
116,317.0,32
116,318.0,32
116,319.0,32
116,320.0,32
116,321.0,32
116,322.0,32
116,323.0,32
116,324.0,32
116,325.0,32
116,326.0,32
116,327.0,32
116,328.0,32
116,329.0,32
116,330.0,32
116,331.0,32
116,332.0,32
116,333.0,32
116,334.0,32
116,335.0,32
116,336.0,32
116,337.0,32
116,338.0,32
116,339.0,32
116,340.0,32
116,341.0,32
116,342.0,32
116,343.0,32
116,344.0,32
116,345.0,32
116,346.0,32
116,347.0,32
116,348.0,32
116,349.0,32
116,350.0,32
116,351.0,32
116,352.0,32
116,353.0,32
116,354.0,32
116,355.0,32
116,356.0,32
116,357.0,32
116,358.0,32
116,359.0,32
116,360.0,32
116,361.0,32
116,362.0,32
116,363.0,32
116,364.0,32
116,365.0,32
116,366.0,32
116,367.0,32
116,368.0,32
116,369.0,32
116,370.0,32
116,371.0,32
116,372.0,32
116,373.0,32
116,374.0,32
116,375.0,32
116,376.0,32
116,377.0,32
116,378.0,32
116,379.0,32
116,380.0,32
116,381.0,32
116,382.0,32
116,383.0,32
116,384.0,32
116,385.0,32
116,386.0,32
116,387.0,32
116,388.0,32
116,389.0,32
116,390.0,32
116,391.0,32
116,392.0,32
116,393.0,32
116,394.0,32
116,395.0,32
116,396.0,32
116,397.0,32
116,398.0,32
116,399.0,32
116,400.0,32
116,401.0,32
116,402.0,32
116,403.0,32
116,404.0,32
116,405.0,32
116,406.0,32
116,407.0,32
116,408.0,32
116,409.0,32
116,410.0,32
116,411.0,32
116,412.0,32
116,413.0,32
116,414.0,32
116,415.0,32
116,416.0,32
116,417.0,32
116,418.0,32
116,419.0,32
116,420.0,32
116,421.0,32
116,422.0,32
116,423.0,32
116,424.0,32
116,425.0,32
116,426.0,32
116,427.0,32
116,428.0,32
116,429.0,32
116,430.0,32
116,431.0,32
116,432.0,32
116,433.0,32
116,434.0,32
116,435.0,32
116,436.0,32
116,437.0,32
116,438.0,32
116,439.0,32
116,440.0,32
116,441.0,32
116,442.0,32
116,443.0,32
116,444.0,32
116,445.0,32
116,446.0,32
116,447.0,32
116,448.0,32
116,449.0,32
116,450.0,32
116,451.0,32
116,452.0,32
116,453.0,32
116,454.0,32
116,455.0,32
116,456.0,32
116,457.0,32
116,458.0,32
116,459.0,32
116,460.0,32
116,461.0,32
116,462.0,32
116,463.0,32
116,464.0,32
116,465.0,32
116,466.0,32
116,467.0,32
116,468.0,32
116,469.0,32
116,470.0,32
116,471.0,32
116,472.0,32
116,473.0,32
116,474.0,32
116,475.0,32
116,476.0,32
116,477.0,32
116,478.0,32
116,479.0,32
116,480.0,32
116,481.0,32
116,482.0,32
116,483.0,32
116,484.0,32
116,485.0,32
116,486.0,32
116,487.0,32
116,488.0,32
116,489.0,32
116,490.0,32
116,491.0,32
116,492.0,32
116,493.0,32
116,494.0,32
116,495.0,32
116,496.0,32
116,497.0,32
116,498.0,32
116,499.0,32
116,500.0,32
116,501.0,32
116,502.0,32
116,503.0,32
116,504.0,32
116,505.0,32
116,506.0,32
116,507.0,32
116,508.0,32
116,509.0,32
116,510.0,32
116,511.0,32
116,512.0,32
116,513.0,32
116,514.0,32
116,515.0,32
116,516.0,32
116,517.0,32
116,518.0,32
116,519.0,32
116,520.0,32
116,521.0,32
116,522.0,32
116,523.0,32
116,524.0,32
116,525.0,32
116,526.0,32
116,527.0,32
116,528.0,32
116,529.0,32
116,530.0,32
116,531.0,32
116,532.0,32
116,533.0,32
116,534.0,32
116,535.0,32
116,536.0,32
116,537.0,32
116,538.0,32
116,539.0,32
116,540.0,32
116,541.0,32
116,542.0,32
116,543.0,32
116,544.0,32
116,545.0,32
116,546.0,32
116,547.0,32
116,548.0,32
116,549.0,32
116,550.0,32
116,551.0,32
116,552.0,32
116,553.0,32
116,554.0,32
116,555.0,32
116,556.0,32
116,557.0,32
116,558.0,32
116,559.0,32
116,560.0,32
116,561.0,32
116,562.0,32
116,563.0,32
116,564.0,32
116,565.0,32
116,566.0,32
116,567.0,32
116,568.0,32
116,569.0,32
116,570.0,32
116,571.0,32
116,572.0,32
116,573.0,32
116,574.0,32
116,575.0,32
116,576.0,32
116,577.0,32
116,578.0,32
116,579.0,32
116,580.0,32
116,581.0,32
116,582.0,32
116,583.0,32
116,584.0,32
116,585.0,32
116,586.0,32
116,587.0,32
116,588.0,32
116,589.0,32
116,590.0,32
116,591.0,32
116,592.0,32
116,593.0,32
116,594.0,32
116,595.0,32
116,596.0,32
116,597.0,32
116,598.0,32
116,599.0,32
116,600.0,32
116,601.0,32
116,602.0,32
116,603.0,32
116,604.0,32
116,605.0,32
116,606.0,32
116,607.0,32
116,608.0,32
116,609.0,32
116,610.0,32
116,611.0,32
116,612.0,32
116,613.0,32
116,614.0,32
116,615.0,32
116,616.0,32
116,617.0,32
116,618.0,32
116,619.0,32
116,620.0,32
116,621.0,32
116,622.0,32
116,623.0,32
116,624.0,32
116,625.0,32
116,626.0,32
116,627.0,32
116,628.0,32
116,629.0,32
116,630.0,32
116,631.0,32
116,632.0,32
116,633.0,32
116,634.0,32
116,635.0,32
116,636.0,32
116,637.0,32
116,638.0,32
116,639.0,32
116,640.0,32
116,641.0,32
116,642.0,32
116,643.0,32
116,644.0,32
116,645.0,32
116,646.0,32
116,647.0,32
116,648.0,32
116,649.0,32
116,650.0,32
116,651.0,32
116,652.0,32
116,653.0,32
116,654.0,32
116,655.0,32
116,656.0,32
116,657.0,32
116,658.0,32
116,659.0,32
116,660.0,32
116,661.0,32
116,662.0,32
