"Steps taken by first ant","Time","Steps taken bt present ant"
0,1.0,0
0,2.0,0
0,3.0,0
0,4.0,0
0,5.0,0
0,6.0,0
0,7.0,0
0,8.0,0
0,9.0,0
0,10.0,0
0,11.0,0
0,12.0,0
0,13.0,0
0,14.0,0
0,15.0,0
0,16.0,0
0,17.0,0
0,18.0,0
0,19.0,0
0,20.0,0
0,21.0,0
0,22.0,0
0,23.0,0
0,24.0,0
0,25.0,0
0,26.0,0
0,27.0,0
0,28.0,0
0,29.0,0
0,30.0,0
0,31.0,0
0,32.0,0
0,33.0,0
0,34.0,0
0,35.0,0
0,36.0,0
0,37.0,0
0,38.0,0
0,39.0,0
0,40.0,0
0,41.0,0
0,42.0,0
0,43.0,0
0,44.0,0
0,45.0,0
0,46.0,0
0,47.0,0
0,48.0,0
0,49.0,0
0,50.0,50
50,51.0,50
50,52.0,45
50,53.0,45
50,54.0,44
50,55.0,42
50,56.0,40
50,57.0,39
50,58.0,35
50,59.0,34
50,60.0,34
50,61.0,34
50,62.0,34
50,63.0,33
50,64.0,33
50,65.0,33
50,66.0,33
50,67.0,33
50,68.0,33
50,69.0,33
50,70.0,33
50,71.0,32
50,72.0,32
50,73.0,32
50,74.0,32
50,75.0,32
50,76.0,32
50,77.0,32
50,78.0,32
50,79.0,32
50,80.0,32
50,81.0,32
50,82.0,32
50,83.0,32
50,84.0,32
50,85.0,32
50,86.0,32
50,87.0,32
50,88.0,32
50,89.0,32
50,90.0,32
50,91.0,32
50,92.0,32
50,93.0,32
50,94.0,32
50,95.0,32
50,96.0,32
50,97.0,32
50,98.0,32
50,99.0,32
50,100.0,32
50,101.0,32
50,102.0,32
50,103.0,32
50,104.0,32
50,105.0,32
50,106.0,32
50,107.0,32
50,108.0,32
50,109.0,32
50,110.0,32
50,111.0,32
50,112.0,32
50,113.0,32
50,114.0,32
50,115.0,32
50,116.0,32
50,117.0,32
50,118.0,32
50,119.0,32
50,120.0,32
50,121.0,32
50,122.0,32
50,123.0,32
50,124.0,32
50,125.0,32
50,126.0,32
50,127.0,32
50,128.0,32
50,129.0,32
50,130.0,32
50,131.0,32
50,132.0,32
50,133.0,32
50,134.0,32
50,135.0,32
50,136.0,32
50,137.0,32
50,138.0,32
50,139.0,32
50,140.0,32
50,141.0,32
50,142.0,32
50,143.0,32
50,144.0,32
50,145.0,32
50,146.0,32
50,147.0,32
50,148.0,32
50,149.0,32
50,150.0,32
50,151.0,32
50,152.0,32
50,153.0,32
50,154.0,32
50,155.0,32
50,156.0,32
50,157.0,32
50,158.0,32
50,159.0,32
50,160.0,32
50,161.0,32
50,162.0,32
50,163.0,32
50,164.0,32
50,165.0,32
50,166.0,32
50,167.0,32
50,168.0,32
50,169.0,32
50,170.0,32
50,171.0,32
50,172.0,32
50,173.0,32
50,174.0,32
50,175.0,32
50,176.0,32
50,177.0,32
50,178.0,32
50,179.0,32
50,180.0,32
50,181.0,32
50,182.0,32
50,183.0,32
50,184.0,32
50,185.0,32
50,186.0,32
50,187.0,32
50,188.0,32
50,189.0,32
50,190.0,32
50,191.0,32
50,192.0,32
50,193.0,32
50,194.0,32
50,195.0,32
50,196.0,32
50,197.0,32
50,198.0,32
50,199.0,32
50,200.0,32
50,201.0,32
50,202.0,32
50,203.0,32
50,204.0,32
50,205.0,32
50,206.0,32
50,207.0,32
50,208.0,32
50,209.0,32
50,210.0,32
50,211.0,32
50,212.0,32
50,213.0,32
50,214.0,32
50,215.0,32
50,216.0,32
50,217.0,32
50,218.0,32
50,219.0,32
50,220.0,32
50,221.0,32
50,222.0,32
50,223.0,32
50,224.0,32
50,225.0,32
50,226.0,32
50,227.0,32
50,228.0,32
50,229.0,32
50,230.0,32
50,231.0,32
50,232.0,32
50,233.0,32
50,234.0,32
50,235.0,32
50,236.0,32
50,237.0,32
50,238.0,32
50,239.0,32
50,240.0,32
50,241.0,32
50,242.0,32
50,243.0,32
50,244.0,32
50,245.0,32
50,246.0,32
50,247.0,32
50,248.0,32
50,249.0,32
50,250.0,32
50,251.0,32
50,252.0,32
50,253.0,32
50,254.0,32
50,255.0,32
50,256.0,32
50,257.0,32
50,258.0,32
50,259.0,32
50,260.0,32
50,261.0,32
50,262.0,32
50,263.0,32
50,264.0,32
50,265.0,32
50,266.0,32
50,267.0,32
50,268.0,32
50,269.0,32
50,270.0,32
50,271.0,32
50,272.0,32
50,273.0,32
50,274.0,32
50,275.0,32
50,276.0,32
50,277.0,32
50,278.0,32
50,279.0,32
50,280.0,32
50,281.0,32
50,282.0,32
50,283.0,32
50,284.0,32
50,285.0,32
50,286.0,32
50,287.0,32
50,288.0,32
50,289.0,32
50,290.0,32
50,291.0,32
50,292.0,32
50,293.0,32
50,294.0,32
50,295.0,32
50,296.0,32
50,297.0,32
50,298.0,32
50,299.0,32
50,300.0,32
50,301.0,32
50,302.0,32
50,303.0,32
50,304.0,32
50,305.0,32
50,306.0,32
50,307.0,32
50,308.0,32
50,309.0,32
50,310.0,32
50,311.0,32
50,312.0,32
50,313.0,32
50,314.0,32
50,315.0,32
50,316.0,32
50,317.0,32
50,318.0,32
50,319.0,32
50,320.0,32
50,321.0,32
50,322.0,32
50,323.0,32
50,324.0,32
50,325.0,32
50,326.0,32
50,327.0,32
50,328.0,32
50,329.0,32
50,330.0,32
50,331.0,32
50,332.0,32
50,333.0,32
50,334.0,32
50,335.0,32
50,336.0,32
50,337.0,32
50,338.0,32
50,339.0,32
50,340.0,32
50,341.0,32
50,342.0,32
50,343.0,32
50,344.0,32
50,345.0,32
50,346.0,32
50,347.0,32
50,348.0,32
50,349.0,32
50,350.0,32
50,351.0,32
50,352.0,32
50,353.0,32
50,354.0,32
50,355.0,32
50,356.0,32
50,357.0,32
50,358.0,32
50,359.0,32
50,360.0,32
50,361.0,32
50,362.0,32
50,363.0,32
50,364.0,32
50,365.0,32
50,366.0,32
